phone_name,brand,os,inches,resolution,battery,battery_type,ram,announcement_date,weight,video,internal,price
Huawei P20,Huawei,Android 8.1,"5.8""",1080x2240 pixels,3400,Li-Po,4/6GB RAM,"2018, March 27",165 g (5.82 oz),"4K@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 720p@960fps","64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",About 170 EUR
Huawei P20 lite,Huawei,Android 8.0,"5.84""",1080x2280 pixels,3000,Li-Po,3/4GB RAM,"2018, March 20",145 g (5.11 oz),1080p@30fps,"32GB 3GB RAM, 32GB 4GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",About 150 EUR
Huawei Y7 Pro (2018),Huawei,Android 8.0,"5.99""",720x1440 pixels,3000,Li-Ion,3GB RAM,"2018, March",155 g (5.47 oz),1080p@30fps,32GB 3GB RAM,About 220 EUR
Huawei Y7 Prime (2018),Huawei,Android 8.0,"5.99""",720x1440 pixels,3000,Li-Ion,3/4GB RAM,"2018, March",155 g (5.47 oz),1080p@30fps,"32GB 3GB RAM, 64GB 4GB RAM",About 170 EUR
Huawei Y7 (2018),Huawei,Android 8.0,"5.99""",720x1440 pixels,3000,Li-Ion,2GB RAM,"2018, March",155 g (5.47 oz),1080p@30fps,16GB 2GB RAM,About 200 EUR
Huawei Y9 (2018),Huawei,Android 8.0,"5.93""",1080x2160 pixels,4000,Li-Ion,3/4GB RAM,"2018, March",170 g (6.00 oz),1080p@30fps,"32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",About 600 EUR
Huawei P smart,Huawei,Android 8.0,"5.65""",1080x2160 pixels,3000,Li-Po,3/4GB RAM,"2017, December",143 g (5.04 oz),1080p@30fps,"32GB 3GB RAM, 64GB 4GB RAM",About 450 EUR
Huawei nova 2s,Huawei,Android 8.0,"6.0""",1080x2160 pixels,3340,Li-Po,4/6GB RAM,"2017, December",169 g (5.96 oz),"4K@30fps, 1080p@30fps","64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM",About 230 EUR
Huawei Mate 10 Porsche Design,Huawei,Android 8.0,"6.0""",1080x2160 pixels,4000,Li-Po,6GB RAM,"2017, October",178 g (6.28 oz),"4K@30fps, 1080p@30/60fps",256GB 6GB RAM,About 190 EUR
Huawei Mate 10 Pro,Huawei,Android 8.0,"6.0""",1080x2160 pixels,4000,Li-Po,4/6GB RAM,"2017, October",178 g (6.28 oz),"4K@30fps, 1080p@30/60fps","64GB 4GB RAM, 128GB 6GB RAM",About 150 EUR
Huawei Mate 10,Huawei,Android 8.0,"5.9""",1440x2560 pixels,4000,Li-Po,4GB RAM,"2017, October",186 g (6.56 oz),"4K@30fps, 1080p@30/60fps",64GB 4GB RAM,About 180 EUR
Huawei Mate 10 Lite,Huawei,Android 7.0,"5.9""",1080x2160 pixels,3340,Li-Ion,4GB RAM,"2017, October",164 g (5.78 oz),1080p@30fps,64GB 4GB RAM,About 300 EUR
Huawei P9 lite mini,Huawei,Android 7.0,"5.0""",720x1280 pixels,3020,Li-Ion,2GB RAM,"2017, August",145 g (5.11 oz),1080p@30fps,16GB 2GB RAM,About 250 EUR
