phone_name,brand,os,inches,resolution,battery,battery_type,ram,announcement_date,weight,video,internal,price
vivo Y55 5G,Vivo,Android 11,"6.58""",1080x2408 pixels,5000,Li-Po,4/6GB RAM,"2022, January 17",187 g (6.60 oz),"1080p@30fps, gyro-EIS","128GB 4GB RAM, 128GB 6GB RAM","€ 424.15 / ₹ 29,990"
vivo iQOO 9 (China),Vivo,Android 12,"6.78""",1080x2400 pixels,4700,Li-Po,8/12GB RAM,"2022, January 05",206 g (7.27 oz),"4K@30fps, 1080p@30fps, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",About 230 EUR
vivo V23 Pro,Vivo,Android 12,"6.56""",1080x2376 pixels,4300,Li-Po,8/12GB RAM,"2022, January 05",171 g (6.03 oz),"4K@30fps, 1080p@30fps, gyro-EIS","128GB 8GB RAM, 256GB 12GB RAM","₹ 15,290"
vivo V23 5G,Vivo,Android 12,"6.44""",1080x2400 pixels,4200,Li-Po,8/12GB RAM,"2022, January 05",179 g or 181 g (6.31 oz),"4K@30fps, 1080p@30fps, gyro-EIS","128GB 8GB RAM, 256GB 12GB RAM",About 150 EUR
vivo Y33t,Vivo,Android 11,"6.58""",1080x2408 pixels,5000,Li-Po,8GB RAM,"2022, January 11",182 g (6.42 oz),1080p@30fps,128GB 8GB RAM,About 190 EUR
vivo Y21t (India),Vivo,Android 11,"6.58""",1080x2408 pixels,5000,Li-Po,4GB RAM,"2022, January 03",182 g (6.42 oz),1080p@30fps,128GB 4GB RAM,About 180 EUR
vivo Y21a,Vivo,Android 11,"6.51""",720x1600 pixels,5000,Li-Po,4GB RAM,"2022, January 22",182 g (6.42 oz),1080p@30fps,64GB 4GB RAM,About 430 EUR
vivo Y21e,Vivo,Android 11,"6.51""",720x1600 pixels,5000,Li-Po,3GB RAM,"2022, January 14",182 g (6.42 oz),1080p@30fps,64GB 3GB RAM,About 390 EUR
vivo Y21t,Vivo,Android 11,"6.51""",720x1600 pixels,5000,Li-Po,4/6GB RAM,"2022, January 03",182 g (6.42 oz),1080p@30fps,"128GB 4GB RAM, 128GB 6GB RAM",About 380 EUR
vivo iQOO U5,Vivo,Android 12,"6.58""",1080x2408 pixels,5000,Li-Po,4-8GB RAM,"2021, December 24",185 g (6.53 oz),1080p@30fps,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",About 300 EUR
