phone_name,brand,os,inches,resolution,battery,battery_type,ram,announcement_date,weight,video,internal,price
Honor 9X Pro,Honor,Android 9.0,"6.59""",1080x2340 pixels,4000,Li-Po,6/8GB RAM,"2019, July 23",202 g (7.13 oz),"1080p@30fps, gyro-EIS","128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM",About 230 EUR
Honor 9X (China),Honor,Android 9.0,"6.59""",1080x2340 pixels,4000,Li-Po,4-8GB RAM,"2019, July",206 g (7.27 oz),1080p@30fps,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",About 180 EUR
Honor 8S,Honor,Android 9.0,"5.71""",720x1520 pixels,3020,Li-Po,2/3GB RAM,"2019, April",146 g (5.15 oz),1080p@30fps,"32GB 2GB RAM, 64GB 3GB RAM",About 120 EUR
Honor 20 Pro,Honor,Android 9.0,"6.26""",1080x2340 pixels,4000,Li-Po,8GB RAM,"2019, May",182 g (6.42 oz),"4K@30fps, 1080p@30/60fps; gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM",About 470 EUR
Honor 20,Honor,Android 9.0,"6.26""",1080x2340 pixels,3750,Li-Po,6/8GB RAM,"2019, May",174 g (6.14 oz),"4K@30fps, 1080p@30/60fps; gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",About 400 EUR
Honor 20 lite,Honor,Android 9.0,"6.21""",1080x2340 pixels,3400,Li-Po,4-8GB RAM,"2019, April",164 g (5.78 oz),1080p@30/60fps,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",About 190 EUR
Honor 20i,Honor,Android 9.0,"6.21""",1080x2340 pixels,3400,Li-Po,4/6GB RAM,"2019, April",164 g (5.78 oz),1080p@30/60fps,"64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 256GB 6GB RAM",About 210 EUR
Honor 8A Pro,Honor,Android 9.0,"6.09""",720x1560 pixels,3020,Li-Po,2/3GB RAM,"2019, April",150 g (5.29 oz),1080p@30fps,"32GB 2GB RAM, 32GB 3GB RAM, 64GB 3GB RAM",About 200 EUR
Honor Magic 2 3D,Honor,Android 9.0,"6.39""",1080x2340 pixels,3500,Li-Po,6/8GB RAM,"2019, March",206 g (7.27 oz),"4K@30fps, 1080p@30fps, 720p@480fps","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM",About 600 EUR
Honor Magic 2,Honor,Android 9.0,"6.39""",1080x2340 pixels,3500,Li-Po,6/8GB RAM,"2018, October",206 g (7.27 oz),"4K@30fps, 1080p@30fps, 720p@480fps","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",About 550 EUR
Honor Play 8A,Honor,Android 9.0,"6.09""",720x1560 pixels,3020,Li-Po,3GB RAM,"2019, January",150 g (5.29 oz),1080p@30fps,"32GB 3GB RAM, 64GB 3GB RAM",About 100 EUR
Honor 10 Lite,Honor,Android 9.0,"6.21""",1080x2340 pixels,3400,Li-Po,3-6GB RAM,"2018, November",162 g (5.71 oz),1080p@30/60fps,"32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM, 64GB 6GB RAM, 128GB 3GB RAM, 128GB 6GB RAM",About 180 EUR
Honor 8C,Honor,Android 8.1,"6.26""",720x1520 pixels,4000,Li-Po,3/4GB RAM,"2018, October",167.2 g (5.89 oz),1080p@30fps,"32GB 3GB RAM, 32GB 4GB RAM, 64GB 4GB RAM",About 170 EUR
Honor 8X,Honor,Android 8.1,"6.5""",1080x2340 pixels,3750,Li-Po,4/6GB RAM,"2018, September",175 g (6.17 oz),"1080p@30/60fps, 480fps, stereo sound rec.","64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",About 220 EUR
Honor 8X Max,Honor,Android 8.1,"7.12""",1080x2244 pixels,5000,Li-Po,4/6GB RAM,"2018, September",210 g (7.41 oz),1080p@30fps,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",About 250 EUR
Honor Note 10,Honor,Android 8.1,"6.95""",1080x2220 pixels,5000,Li-Po,6/8GB RAM,"2018, July",230 g (8.11 oz),"4K@30fps, 1080p@30fps (gyro-EIS)","64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",About 400 EUR
Honor 9N (9i),Honor,Android 8.0,"5.84""",1080x2280 pixels,3000,Li-Po,3/4GB RAM,"2018, July",152 g (5.36 oz),1080p@30fps,"32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",About 220 EUR
Honor Play,Honor,Android 8.1,"6.3""",1080x2340 pixels,3750,Li-Po,4/6GB RAM,"2018, July",176 g (6.21 oz),"4K@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS)","64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM",About 250 EUR
Honor 7S,Honor,Android 8.1,"5.45""",720x1440 pixels,3020,Li-Ion,1/2GB RAM,"2018, May",142 g (5.01 oz),1080p@30fps,"16GB 2GB RAM, 16GB 1GB RAM",About 110 EUR
Honor 10,Honor,Android 8.1,"5.84""",1080x2280 pixels,3400,Li-Po,4-8GB RAM,"2018, May",153 g (5.40 oz),"4K@30fps, 1080p@30/60fps (gyro-EIS)","64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",About 310 EUR
Honor 7A,Honor,Android 8.0,"5.7""",720x1440 pixels,3000,Li-Po,2/3GB RAM,"2018, April",150 g (5.29 oz),1080p@30fps,"16GB 2GB RAM, 32GB 2GB RAM, 32GB 3GB RAM",About 120 EUR
Honor 7C,Honor,Android 8.0,"5.99""",720x1440 pixels,3000,Li-Po,3/4GB RAM,"2018, May",164 g (5.78 oz),1080p@30fps,"32GB 3GB RAM, 32GB 4GB RAM, 64GB 4GB RAM",About 200 EUR
Honor 9 Lite,Honor,Android 8.0,"5.65""",1080x2160 pixels,3000,Li-Po,3/4GB RAM,"2017, December",149 g (5.26 oz),1080p@30fps,"32GB 3GB RAM, 32GB 4GB RAM, 64GB 4GB RAM",About 190 EUR
