phone_name,brand,os,inches,resolution,battery,battery_type,ram,announcement_date,weight,video,internal,price
Realme 6,Realme,Android 10,"6.5""",1080x2400 pixels,4300,Li-Po,4-8GB RAM,"2020, March 05",191 g (6.74 oz),"4K@30fps, 1080p@30/60/120fps, gyro-EIS","64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",About 190 EUR
Realme X50 Pro 5G,Realme,Android 10,"6.44""",1080x2400 pixels,4200,Li-Po,6-12GB RAM,"2020, February 24",205 g (7.23 oz),"4K@30/60fps, 1080p@30/60fps; gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",€ 439.44
Realme C3 (3 cameras),Realme,Android 10,"6.5""",720x1600 pixels,5000,Li-Po,2-4GB RAM,"2020, February 19",195 g (6.88 oz),1080p@30fps,"32GB 2GB RAM, 32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM",About 150 EUR
Realme C3,Realme,Android 10,"6.5""",720x1600 pixels,5000,Li-Po,2-4GB RAM,"2020, February 05",195 g (6.88 oz),1080p@30fps,"32GB 2GB RAM, 32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM",About 90 EUR
Realme X50 5G (China),Realme,Android 10,"6.57""",1080x2400 pixels,4200,Li-Po,6-12GB RAM,"2020, January 07",202 g (7.13 oz),"4K@30fps, 1080p@30/60fps; gyro-EIS","64GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 12GB RAM",About 680 EUR
Realme 5i,Realme,Android 9.0,"6.52""",720x1600 pixels,5000,Li-Po,3/4GB RAM,"2020, January 06",195 g (6.88 oz),"4K@30fps, 1080p@30fps, gyro-EIS","32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",About 170 EUR
Realme 5s,Realme,Android 9.0,"6.5""",720x1600 pixels,5000,Li-Po,4GB RAM,"2019, November 20",198 g (6.98 oz),"4K@30fps, 1080p@30fps, gyro-EIS","64GB 4GB RAM, 128GB 4GB RAM",About 270 EUR
Realme C2s,Realme,Android 9.0,"6.1""",720x1560 pixels,4000,Li-Po,3GB RAM,"2020, January",166 g (5.86 oz),1080p@30fps,32GB 3GB RAM,About 40 EUR
Realme C2 2020,Realme,Android 9.0,"6.1""",720x1560 pixels,4000,Li-Po,2/3GB RAM,"2019, November",166 g (5.86 oz),1080p@30fps,"32GB 2GB RAM, 64GB 3GB RAM",About 100 EUR
Realme X2 Pro,Realme,Android 9.0,"6.5""",1080x2400 pixels,4000,Li-Po,6-12GB RAM,"2019, October 15",199 g (7.02 oz),"4K@30/60fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS","64GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",About 440 EUR
Realme X2,Realme,Android 9.0,"6.4""",1080x2340 pixels,4000,Li-Po,4-8GB RAM,"2019, September 24",182 g (6.42 oz),"4K@30fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS","64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",About 480 EUR
Realme XT,Realme,Android 9.0,"6.4""",1080x2340 pixels,4000,Li-Po,4-8GB RAM,"2019, September 13",183 g (6.46 oz),"4K@30fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS","64GB 4GB RAM, 64GB 6GB RAM, 128GB 8GB RAM",About 290 EUR
Realme Q,Realme,Android 9.0,"6.3""",1080x2340 pixels,4035,Li-Po,4-8GB RAM,"2019, September",184 g (6.49 oz),"4K@30fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS","64GB 4GB RAM, 64GB 6GB RAM, 128GB 8GB RAM",About 130 EUR
Realme 5 Pro,Realme,Android 9.0,"6.3""",1080x2340 pixels,4035,Li-Po,4-8GB RAM,"2019, August 20",184 g (6.49 oz),"4K@30fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS","64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 8GB RAM",About 430 EUR
Realme 5,Realme,Android 9.0,"6.5""",720x1600 pixels,5000,Li-Po,3/4GB RAM,"2019, August 20",198 g (6.98 oz),"4K@30fps, 1080p@30fps, gyro-EIS","32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",About 190 EUR
Realme 3i,Realme,Android 9.0,"6.2""",720x1520 pixels,4230,Li-Po,3/4GB RAM,"2019, July",175 g (6.17 oz),1080p@30fps,"32GB 3GB RAM, 64GB 4GB RAM",About 8000 INR
Realme X,Realme,Android 9.0,"6.53""",1080x2340 pixels,3765,Li-Po,4-8GB RAM,"2019, May",191 g (6.74 oz),"4K@30fps, 1080p@30fps (gyro-EIS), 1080p@120fps, 720p@960fps","64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",About 160 EUR
Realme 3 Pro,Realme,Android 9.0,"6.3""",1080x2340 pixels,4045,Li-Po,4/6GB RAM,"2019, April 22",172 g (6.07 oz),"4K@30fps, 1080p@30/120fps, 720p@960fps, gyro-EIS","64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM",About 270 EUR
Realme C2,Realme,Android 9.0,"6.1""",720x1560 pixels,4000,Li-Po,2/3GB RAM,"2019, April 22",166 g (5.86 oz),1080p@30fps,"16GB 2GB RAM, 32GB 2GB RAM, 32GB 3GB RAM, 64GB 3GB RAM",About 6000 INR
Realme 3,Realme,Android 9.0,"6.22""",720x1520 pixels,4230,Li-Po,3/4GB RAM,"2019, March",175 g (6.17 oz),1080p@30fps,"32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM",About 9000 INR
Realme C1 (2019),Realme,Android 8.1,"6.2""",720x1520 pixels,4230,Li-Ion,2/3GB RAM,"2019, January",168 g (5.93 oz),1080p@30fps,"32GB 2GB RAM, 32GB 3GB RAM",About 7500 INR
Realme U1,Realme,Android 8.1,"6.3""",1080x2340 pixels,3500,Li-Ion,3/4GB RAM,"2018, November",168 g (5.93 oz),"1080p@30fps, 720p@90fps","32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM",About 130 EUR
Realme 2 Pro,Realme,Android 8.1,"6.3""",1080x2340 pixels,3500,Li-Ion,4-8GB RAM,"2018, September",174 g (6.14 oz),"4K@30fps, 1080p@30fps, 720p@240fps","64GB 4GB RAM, 64GB 6GB RAM, 128GB 8GB RAM",About 150 EUR
Realme C1,Realme,Android 8.1,"6.2""",720x1520 pixels,4230,Li-Ion,2GB RAM,"2018, September",168 g (5.93 oz),1080p@30fps,16GB 2GB RAM,About 100 EUR
Realme 2,Realme,Android 8.1,"6.2""",720x1520 pixels,4230,Li-Ion,3/4GB RAM,"2018, August",168 g (5.93 oz),1080p@30fps,"32GB 3GB RAM, 64GB 4GB RAM",About 120 EUR
Realme 1,Realme,Android 8.1,"6.0""",1080x2160 pixels,3410,Li-Ion,3-6GB RAM,"2018, May",155 g (5.47 oz),1080p@30fps,"32GB 3GB RAM, 64GB 4GB RAM, 128GB 6GB RAM",About 130 EUR
